product_name,product_id,listing_price,sale_price,brand,description,rating,reviews
Nike Air Force 1 '07 Essential,CJ1646-600,10995.0,7495,Nike,Let your shoe game shimmer in the Nike Air Force 1 '07 Essential. It takes the classic AF-1 design to the next level with its premium leather upper and iridescent Swoosh.,0.0,0
Nike Air Force 1 '07,CT4328-101,10995.0,7495,Nike,"The legend lives on in the Nike Air Force 1 '07, a modern take on the iconic AF1 that blends classic style with fresh colours and details.",0.0,0
Nike Air Force 1 Sage Low LX,CI3482-200,10995.0,9995,Nike,"Taking both height and craft to new levels, the Nike Air Force 1 Sage Low LX features a platform midsole and pared-down upper. Rolled edges and clean lines replace traditional overlays for a bold look.",0.0,0
Nike Air Max Dia SE,CD0479-200,10995.0,9995,Nike,"Designed for a woman's foot, the Nike Air Max Dia delivers a lifted look and airy aesthetic in a sleek shape. The minimal upper modernises the look while the exaggerated midsole amplifies the Max Air unit surrounded by clear TPU for a boost of style.",0.0,0
Nike Air Max Verona,CZ6156-101,10995.0,9995,Nike,"Pass on the good vibes in the Nike Air Max Verona. Elegant and versatile, its mixed-material upper features a plush collar, flashy colours and unique stitching patterns. The Nike Air cushioning adds a modern twist, comfort and style to your journey.",0.0,0
Nike Free Metcon 3,CJ6314-146,10995.0,9995,Nike,"The Nike Free Metcon 3 combines the flexibility of a Nike Free sole with the flat, wide heel of the Metcon to keep you fast but stable on your feet from weightlifting to speed drills.",0.0,0
NikeCourt Blanc,CI0808-100,10995.0,5995,Nike,"Inspired by heritage models, the NikeCourt Blanc goes with anything and everything. Leather in the upper gives you a clean look with pops of colour for a simple, versatile style that nods to the past.",0.0,0
Nike Free Metcon 3,CJ0861-017,10995.0,9995,Nike,The Nike Free Metcon 3 combines Nike Free flexibility around the forefoot with Metcon stability in the heel to help you get the most out of your training session.,5.0,1
Nike Zoom Pegasus Turbo 2,AT8242-009,10995.0,15995,Nike,"The Nike Zoom Pegasus Turbo 2 is updated with a feather-light upper, while innovative foam brings revolutionary responsiveness to your long-distance training.",2.7,14
Nike Air Max 270 React ENG,CK2595-500,10995.0,14995,Nike,The Nike Air Max 270 React ENG combines a full-length React foam midsole with a 270 Max Air unit for unrivalled comfort and a striking visual experience.,5.0,2
Nike Air Max 90,CD0490-104,10995.0,9995,Nike,"Clean lines, versatile and timeless—the people's shoe returns with the Nike Air Max 90. Featuring the same iconic Waffle sole, stitched overlays and classic TPU accents you've come to love, it lets you walk among the pantheon of Air.",5.0,9
Nike Air Force 1 '07,315115-112,10995.0,7495,Nike,"The radiance lives on in the Nike Air Force 1 '07, the b-ball OG that puts a fresh spin on what you know best: crisp leather in an all-white colourway for a statement look on and off the court.",4.5,67
Jordan Air Max 200 XX,AV5186-101,10995.0,10495,Nike,"With design inspiration taken from the iconic AJ8, the Jordan Air Max 200 XX features enhanced cushioning for all-day, street-ready comfort.",0.0,0
Nike SuperRep Go,CJ0860-668,10995.0,7995,Nike,"The Nike SuperRep Go combines comfortable foam cushioning, flexibility and support to get you moving in circuit-based fitness classes or while streaming workouts at home.",0.0,0
Nike Air VaporMax Flyknit 3,AJ6910-009,10995.0,16995,Nike,"Be bouncy and buoyant in the Nike Air VaporMax Flyknit 3. Inspired by high fashion, the upper features flowing lines of breathable, stretchable Flyknit construction. Revolutionary VaporMax Air technology keeps a spring in your step with toe-to-heel cushioning.",4.4,48
Nike Air Zoom SuperRep,BQ7043-668,10995.0,9995,Nike,"The Nike Air Zoom SuperRep is designed for circuit training, HIIT, short runs and other fast-paced exercise. Zoom Air cushioning in the forefoot combines with a wide, stable heel to keep you moving and lifting comfortably.",4.4,34
Nike Air Max 270 React ENG,CK2608-100,10995.0,14995,Nike,"Refresh your step in the Nike Air Max 270 React ENG. Featuring all the forward-looking design and innovation of the OG Air Max 270, it offers sleek lines and radiating TPU fingers that dole out the fresh style. Lightweight, no-sew materials create a time-travelling vibe that looks as good as it feels.",0.0,0
Nike Air Max 97,921733-104,10995.0,16995,Nike,"The Nike Air Max 97 keeps a sneaker icon going strong with the same design details that made it famous: water-ripple lines, reflective piping and full-length Max Air cushioning.",4.3,16
Nike Air Force 1 '07,CJ1379-001,10995.0,7995,Nike,The legend lives on in the Nike Air Force 1 '07—a modern take on the iconic AF1 that blends classic style with sweet details. A stitched tag logo runs down the tongue while over-branding throughout reinforces Nike heritage.,0.0,0
Nike Court Vintage Premium,CT1726-100,10995.0,5495,Nike,"The Nike Court Vintage Premium embodies '80s tennis at its best—laid-back and stylish. The smooth leather upper is combined with micro-branding for a relaxed look and feel, while the cushioned sockliner provides smooth comfort with every step.",0.0,0
Nike Air Max 97,CT4525-001,10995.0,15995,Nike,"Remastered from the OG that shook up the running world, the Nike Air Max 97 elevates the classic design. Bold new colours draw inspiration from the Hanshin Tigers, one of Japan's oldest baseball teams.",0.0,0
Nike SB Bruin High,923112-001,7995.0,5597,Nike,"The first Nike SB shoe designed specifically for women, the Nike SB Bruin High is built for exceptional comfort and board control. With classic Bruin design lines and details, this is a fresh take on a time-honoured shoe.",4.2,6
Air Jordan XXXIV PF,BQ3381-600,10995.0,14995,Nike,"The Air Jordan XXXIV PF continues the legacy of a cultural icon. Light, responsive and sculpted with aerodynamic precision, it combines a boldly unconventional midsole with herringbone traction to merge innovative and iconic design elements.",5.0,2
Nike Metcon 5,AO2982-076,10995.0,10995,Nike,"The Nike Metcon 5 is the most tuned Metcon yet. This means specific stability for heavy lifting, traction made for speed and durability where you need it. It even includes a Hyperlift insert that's compatible with all prior versions of the Metcon. Meet your secret weapon for weight-lifting and high-impact training.",4.4,22
Nike React Phantom Run Flyknit 2,CJ0277-002,10995.0,11995,Nike,"The Nike React Phantom Run Flyknit 2 offers versatility for the everyday runner. Building on the foundation of its predecessor, the shoe expands on its laceless design by adding secure support that feels like it ""disappears"" on your foot. More foam means better cushioning, keeping you comfortable as you run.",0.0,0
Nike Joyride Run Flyknit,AQ2730-009,10995.0,14995,Nike,The Nike Joyride Run Flyknit is designed to help make running feel easier and give your legs a day off. Tiny foam beads underfoot contour to your foot for cushioning that stands up to your mileage.,4.0,65
Nike Air Max 90,CT1030-100,10995.0,9995,Nike,"With colours fresher than summer flowers, this take on the '90s champion brings you the comfort and look you trust—visible Max Air cushioning, bold TPU accents and plush padding around the ankle.",0.0,0
Nike Air VaporMax 360,CK9671-001,10995.0,18995,Nike,"Inspired by heritage running shoes like the 2006 Air Max 360, the Nike Air VaporMax 360 re-imagines full-length Air with its lighter, more flexible design. The full-length foam midsole adds to the comfort while bold colours create a fresh, modern look.",4.0,1
Nike Offcourt,BQ4632-602,10995.0,2495,Nike,"Featuring Revive Foam, a super-soft foam designed to help you relax and recharge, the unrelenting comfort of the Nike Offcourt Slide is sensational. The innovative dual-layered foam and soft jersey lining on the strap ensure a gratifying full-foot experience. The iconic Air Force 1 pivot circle outsole and block lettering on the strap casually nod to heritage hoops.",4.3,4
Nike React Phantom Run Flyknit 2,CJ0280-001,10995.0,11995,Nike,"The Nike React Phantom Run Flyknit 2 is all about versatility for the everyday runner. The shoe expands on its laceless design by adding secure comfort, making it feel like the shoe disappears on your foot. More foam means better cushioning, keeping you comfortable as you run.",0.0,0
Jordan Break,AR6374-402,10995.0,1995,Nike,"Featuring a fixed strap over the top of the foot, the Jordan Break Slide features durable synthetic leather and lightweight foam cushioning for underfoot comfort.",4.2,5
LeBron 7 QS,CU5646-001,10995.0,16995,Nike,"Make your head-turning journey to the top comfortable. Built strong and sleek, the LeBron 7 QS features a mix of materials on the upper for a look that lasts. Metal accents and multiple LeBron crests celebrate a king, while full-length cushioning graces your every step.",5.0,1
Nike In-Season TR 9,AR4543-013,10995.0,5995,Nike,"The Nike In-Season TR 9 is light, stable and features deep, comfortable footbed for superior impact absorption and energy return throughout your entire workout.",4.9,7
Nike Joyride Run FlyKnit,CI3707-100,15995.0,11997,Nike,The Nike Joyride Run Flyknit is designed to help make running feel easier and give your legs a day off. Tiny foam beads underfoot contour to your foot for cushioning that stands up to your mileage.,0.0,0
Nike ZoomX Vista Grind,CQ9500-100,10995.0,13995,Nike,"Edgy and fun—the Nike ZoomX Vista Grind is proof of the improbable, bringing you to a bold new place that's rebellious and forward thinking. Using recycled foam from the Nike ZoomX family, it takes Nike DNA and combines it with lightweight mesh, exaggerated stitching and a transparent window on the upper for a boldly modern look that's forward thinking.",0.0,0
Nike Air Force 1 Sage Low,CJ1642-002,10995.0,8995,Nike,"Taking old-school b-ball style to new levels, the Nike Air Force 1 Sage Low features a platform midsole and a pared-down upper for a boldly feminine look. Colour accents around the Swoosh and on the heel and tongue add a fresh take to any summertime outfit.",0.0,0
Nike Air Force 1 '07 LV8,CD0888-002,10995.0,7595,Nike,The Nike Air Force 1 '07 LV8 incorporates the same hoops-inspired performance features of the 1982 original while adding fresh design details for an updated look.,5.0,3
Nike Air Max 720,CI3868-001,10995.0,15995,Nike,"The Nike Air Max 720 goes bigger than ever before with Nike's tallest Air unit yet, which offers more air underfoot for unprecedented, all-day comfort. Has Air Max gone too far? We hope so.",0.0,0
Nike Air Max Dia,CJ0636-100,10995.0,8995,Nike,"Designed specifically for a woman's foot, the Nike Air Max Dia delivers a lifted look and airy aesthetic. The minimal upper modernises the silhouette, while the Max Air unit is amplified even further by an exaggerated midsole for a boost of style.",1.0,1
Air Jordan 1 Mid SE,852542-087,10995.0,9995,Nike,"The Air Jordan 1 Mid SE maintains the timeless appeal of the OG AJ1, revamped with fresh colours and premium materials. Built with a lightweight Air-Sole unit and classic design lines, it captures the essence of the original through a modern lens.",4.8,13
Nike Daybreak,CK2351-601,10995.0,7995,Nike,"Originally released in 1979, the Nike Daybreak is a blast from the past. Featuring the same rubber Waffle outsole and nylon upper, it gives you true vintage style.",4.9,7
Nike SB Shane,BV0657-400,10995.0,6495,Nike,"Shane O'Neill put the same attention to detail into every aspect of his signature shoe as he does in his almost otherworldly skating. From the low-key perforated ventilation at the toe, to the double lacing option and the no-break-in remastered sole, the Nike SB Shane gets all the details right.",4.7,3
Nike Mercurial Vapor 13 Club Neymar Jr. TF,AT8000-104,10995.0,5495,Nike,"The Nike Mercurial Vapor 13 Club Neymar Jr. TF is built for fast-paced play. A synthetic upper wraps your foot for streamlined speed, while rubber studs give you the traction you need on artificial surfaces.",0.0,0
Air Jordan 1 Mid,554724-066,10995.0,9995,Nike,"The Air Jordan 1 Mid Shoe is inspired by the first AJ1, offering OG fans a look at how far the Jordan brand has come since 1985.",4.5,61
Nike Air Max 270 React,CJ0619-100,10995.0,12995,Nike,"Refresh your step in the Nike Air Max 270 React. It uses lightweight, no-sew materials to create a modern aesthetic that looks as good as it feels.",0.0,0
Nike Air Max 98,CJ0592-001,10995.0,16995,Nike,"Always one step ahead, the Nike Air Max 98 features the OG design lines that were inspired by the walls of the Grand Canyon, while adding bursts of fresh colour to the upper. The fluid, textured look and full-length Nike Air cushioning set you apart from the pack.",0.0,0
Nike Joyride Dual Run Premium,CT3867-001,10995.0,11995,Nike,The Nike Joyride Dual Run Premium blazes its own route. Tiny foam beads underfoot are combined with cushioning in the forefoot for an incredibly smooth feel that contours to your foot. Colourful skins throughout the upper give it a deluxe look.,0.0,0
Nike Free RN Flyknit 3.0 2020,CJ0267-001,10995.0,10995,Nike,"The Nike Free RN Flyknit 3.0 2020 is a huge leap forward in the evolution of the Free. Its stretchy design is mixed with a supportive upper for a secure sensation that moves with your foot. Lighter and closer to the ground than previous versions, it gives you a ""barefoot"" feel for a better running experience.",0.0,0
Nike Mercurial Vapor 13 Club Neymar Jr IC,AT7998-104,10995.0,5495,Nike,The Nike Mercurial Vapor 13 Club Neymar Jr IC Shoe has a low-profile Dynamic Fit collar and synthetic material that wraps your foot for streamlined speed.,0.0,0
Nike Mercurial Vapor 13 Elite Neymar Jr. FG,AT7898-104,10995.0,22995,Nike,"Building on the 360 innovation of the 12, the Nike Mercurial Vapor 13 Elite Neymar Jr. FG adds a Nike Aerowtrac zone to the forefoot and a slightly stiffer chassis to help supercharge traction. Inside, an insole with NikeGrip technology provides maximum interior traction underfoot and lightweight cushioning.",0.0,0
PG 4 EP,CD5086-500,10995.0,8995,Nike,"Paul George is the rare high-percentage shooter who's also a coach's dream on D. Designed for his unrivalled 2-way game, the PG 4 EP unveils a new cushioning system that's lightweight, articulated and responsive: ideal for players like Paul who go hard every play.",0.0,0
Air Max 97 LX,CJ0625-700,10995.0,15995,Nike,"Inspired by a high-speed bullet train, the Nike Air Max 97 LX brings back a running icon with a plush, lightweight upgrade. It modernises a retro design with a moulded upper, welded overlays and a Max Air unit for all-day comfort.",0.0,0
Nike Air Max 90,CT4352-104,10995.0,9995,Nike,"Redesigned for casual wear, the Nike Air Max 90 stays true to its '90s running roots. Bold colours add a fresh look while Max Air cushioning adds all-day comfort. Iconic details like the rubber Waffle sole, stitched overlays and TPU plates nod to your heritage style.",0.0,0
Jordan 'Why Not?' Zer0.3 PF,CD3002-103,10995.0,10995,Nike,"One of the game's fiercest competitors, triple-double dynamo Russell Westbrook has the motor, muscle and mentality to match his fearlessness—with the stats to back it up. Built to hold up on outdoor courts, the Jordan ""Why Not?"" Zer0.3 PF is fine-tuned for players like Russ, who beat opponents with linear speed and aggressiveness.",5.0,2
Nike Air Zoom SuperRep,CD3460-010,10995.0,9995,Nike,"The Nike Air Zoom SuperRep is designed for circuit training, HIIT, short runs and other fast-paced exercise. Zoom Air cushioning in the forefoot combines with a wide, stable heel to keep you moving and lifting comfortably.",4.5,31
Nike Metcon 5 AMP,CD3395-006,10995.0,11995,Nike,The Nike Metcon 5 AMP arms you with stability for heavy lifting and traction for sprints during high-impact training. It combines breathability and durability to be your secret weapon in the gym.,5.0,2
Nike Air Max Tailwind 99,CQ6569-001,15995.0,11197,Nike,"The Nike Air Max Tailwind 99 has a storied history, beginning in 1979 with the original Nike Air project. To celebrate 20 years of the Tailwind, this model blends elements from several decades past. An OG colourway nods to the shoe's initial debut back in '99.",0.0,0
Nike Mercurial Vapor 13 Club IC,AT7997-606,10995.0,4995,Nike,"The Nike Mercurial Vapor 13 Club IC is made for high-speed play. A synthetic upper wraps your foot for streamlined speed, while a rubber outsole gives you the traction you need to strike fast.",0.0,0
Nike Air Max 97,CI3708-700,10995.0,14995,Nike,The Air Max 97 shook up the running world with its revolutionary full-length Nike Air unit. The Nike Air Max 97 remasters the original design with bold new colours and flashes of gold.,5.0,1
Nike Air Max Triax,CT1104-700,10995.0,10995,Nike,"Keep your fire burning in the Nike Air Max Triax. It features the same iconic shape and large-volume Air unit as the OG, bringing back the classic comfort and style that's known and loved.",0.0,0
LeBron 17 Low,CD5007-102,10995.0,13995,Nike,"Fine-tuned with LeBron's ferocious game in mind, the LeBron 17 Low has a sleek, low-top design that features a powerful combination of impact-ready cushioning and responsiveness.",3.0,2
Nike Mercurial Vapor 13 Academy Neymar Jr. TF,AT7995-104,10995.0,7995,Nike,"The soft upper of the Nike Mercurial Vapor 13 Academy Neymar Jr. TF wraps your foot for a second-skin fit, while the rubber outsole helps super-charge traction on artificial turf.",0.0,0
Nike Air Max 2090,BV9977-101,10995.0,11995,Nike,"Bring the past into the future with the Nike Air Max 2090. Inspired by the iconic Air Max 90, the 2090 features Nike Air cushioning underfoot that provides unparalleled comfort, while transparent mesh on the upper is blended with timeless OG features for an edgy, modernised look.",0.0,0
Nike Renew Fusion,CD0200-003,10995.0,6995,Nike,"The Nike Renew Fusion blends stability, cushioning and durability for high-impact training sessions. A foam sole cushions heavy-weight, high-paced activities, while a midfoot cage locks your foot down to a flat, wide base for stability.",5.0,1
LeBron 17,BQ3177-100,10995.0,16995,Nike,The LeBron 17 harnesses LeBron's strength and speed with containment and support for all-court domination. It features a lightweight mix of knit and heat-moulded yarns that gives each one a durable look and feel. Combined cushioning provides LeBron with the impact support and responsive energy return he needs to power through the long season.,4.5,47
Nike Air Max 720 OBJ Slip,DA4155-400,10995.0,16995,Nike,"Taking its design inspiration from top wide receiver and fashion icon Odell Beckham Jr., the Nike Air Max 720 OBJ Slip brings some serious heat to your feet. Layered materials like suede, mesh and webbing combine for an eye-catching, tech-driven look.",0.0,0
Nike SuperRep Go,CJ0773-010,10995.0,7995,Nike,"The Nike SuperRep Go combines comfortable foam cushioning, flexibility and support to get you moving in circuit-based fitness classes or while streaming workouts at home.",0.0,0
Nike Air Max 90 Premium,CQ0912-100,10995.0,11995,Nike,"The Nike Air Max 90 Premium is built in honour of celebrated Parisian bakers who define French cuisine and hard work. Nike Air cushioning under your feet feels softer than freshly baked brioche while a durable upper features a French flag and baking champion's wheat laurel on opposite heels. ""Fresh baked daily"" is written on the liner, nodding to those who feed the city of style.",5.0,2
Nike Mercurial Superfly 7 Elite SE FG,CT1099-093,10995.0,24995,Nike,"Everyone starts somewhere and Kylian Mbappé started on the pitches in Bondy. With green and gold details celebrating his home district, the Nike Mercurial Superfly 7 Elite SE FG pays tribute to greatness. A streamlined upper and Nike Aerotrak zone combine for fast-paced play to blow past the competition.",0.0,0
Nike Epic Phantom React A.I.R. Cody Hudson,CI1718-001,13995.0,8397,Nike,"Soft to the touch, the Nike Epic Phantom React A.I.R. lets go of laces for slip-on style that has you up and running in no time. A sock-like fit within breathable Flyknit feels as though the Phantom ""disappears"" as you run, while a polka-dotted upper gets you noticed.",5.0,2
Nike Air Max 90,CD0490-101,10995.0,9995,Nike,"Clean lines, versatile and timeless—the people's shoe returns with the Nike Air Max 90. Featuring the same iconic Waffle sole, stitched overlays and classic TPU accents you've come to love, it lets you walk among the pantheon of Air.",5.0,9
Nike Mercurial Superfly 7 Club TF,AT7980-606,10995.0,5995,Nike,The Nike Mercurial Superfly 7 Club TF features a low-profile Dynamic Fit collar and synthetic material in the upper that wraps your foot for streamlined speed.,0.0,0
Nike Zoom Gravity,BQ3202-011,10995.0,7995,Nike,"Designed to make fast go faster, the Nike Zoom Gravity is built to take you from quick tempo runs to winning races. Snappy forefoot propulsion and grippy, multi-surface traction combine to maximize your stride.",3.1,8
Nike Air Max 270 React ENG,CD0113-400,10995.0,14995,Nike,The Nike Air Max 270 React ENG combines a full-length React foam midsole with a 270 Max Air unit for unrivalled comfort and a striking visual experience.,5.0,1
